tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,27,0,1
3,25,0,2
4,29,1,2
5,27,1,3
6,25,1,4
7,23,1,5
8,21,1,6
9,19,1,7
10,17,1,8
11,15,1,9
12,13,1,10
13,11,1,11
14,9,1,12
15,29,2,12
16,27,2,13
17,25,2,14
18,29,3,14
19,27,3,15
20,25,3,16
21,23,3,17
22,21,3,18
23,19,3,19
24,17,3,20
25,15,3,21
26,13,3,22
27,11,3,23
28,9,3,24
29,7,3,25
30,5,3,26
31,3,3,27
32,29,4,27
33,27,4,28
34,25,4,29
35,23,4,30
36,29,5,30
37,27,5,31
38,25,5,32
39,23,5,33
40,21,5,34
41,29,6,34
42,27,6,35
43,29,7,35
44,27,7,36
45,25,7,37
46,23,7,38
47,21,7,39
48,19,7,40
49,17,7,41
50,15,7,42
51,13,7,43
52,29,8,43
53,27,8,44
54,29,9,44
55,27,9,45
56,29,10,45
57,27,10,46
58,25,10,47
59,23,10,48
60,21,10,49
61,19,10,50
62,17,10,51
63,15,10,52
64,13,10,53
65,11,10,54
66,9,10,55
67,7,10,56
68,5,10,57
69,3,10,58
70,29,11,58
71,27,11,59
72,29,12,59
73,27,12,60
74,25,12,61
75,23,12,62
76,21,12,63
77,19,12,64
78,17,12,65
79,15,12,66
80,13,12,67
81,11,12,68
82,9,12,69
83,7,12,70
84,5,12,71
85,3,12,72
86,29,13,72
87,27,13,73
88,25,13,74
89,29,14,74
90,27,14,75
91,29,15,75
92,27,15,76
93,25,15,77
94,23,15,78
95,21,15,79
96,19,15,80
97,17,15,81
98,15,15,82
99,13,15,83
100,11,15,84
101,9,15,85
102,29,16,85
103,27,16,86
104,25,16,87
105,23,16,88
106,29,17,88
107,27,17,89
108,25,17,90
109,29,18,90
110,27,18,91
111,25,18,92
112,23,18,93
113,21,18,94
114,19,18,95
115,29,19,95
116,27,19,96
117,25,19,97
118,23,19,98
119,21,19,99
120,19,19,100
121,17,19,101
122,15,19,102
123,13,19,103
124,11,19,104
125,9,19,105
126,7,19,106
127,5,19,107
128,3,19,108
129,1,19,109
130,0,19,110
