tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,27,0,1
3,25,0,2
4,23,0,3
5,21,0,4
6,29,1,4
7,27,1,5
8,25,1,6
9,23,1,7
10,29,2,7
11,27,2,8
12,29,3,8
13,27,3,9
14,25,3,10
15,23,3,11
16,21,3,12
17,19,3,13
18,17,3,14
19,15,3,15
20,13,3,16
21,11,3,17
22,9,3,18
23,29,4,18
24,27,4,19
25,29,5,19
26,27,5,20
27,29,6,20
28,27,6,21
29,29,7,21
30,27,7,22
31,25,7,23
32,29,8,23
33,27,8,24
34,25,8,25
35,23,8,26
36,21,8,27
37,19,8,28
38,17,8,29
39,15,8,30
40,13,8,31
41,11,8,32
42,9,8,33
43,29,9,33
44,27,9,34
45,25,9,35
46,29,10,35
47,27,10,36
48,25,10,37
49,29,11,37
50,27,11,38
51,25,11,39
52,29,12,39
53,27,12,40
54,25,12,41
55,23,12,42
56,21,12,43
57,29,13,43
58,27,13,44
59,25,13,45
60,23,13,46
61,21,13,47
62,19,13,48
63,17,13,49
64,15,13,50
65,13,13,51
66,11,13,52
67,9,13,53
68,7,13,54
69,29,14,54
70,27,14,55
71,29,15,55
72,27,15,56
73,25,15,57
74,23,15,58
75,21,15,59
76,19,15,60
77,17,15,61
78,15,15,62
79,13,15,63
80,11,15,64
81,9,15,65
82,29,16,65
83,27,16,66
84,25,16,67
85,23,16,68
86,21,16,69
87,19,16,70
88,17,16,71
89,15,16,72
90,29,17,72
91,27,17,73
92,25,17,74
93,23,17,75
94,29,18,75
95,27,18,76
96,25,18,77
97,23,18,78
98,21,18,79
99,19,18,80
100,17,18,81
101,29,19,81
102,27,19,82
103,29,20,82
104,27,20,83
105,29,21,83
106,27,21,84
107,25,21,85
108,23,21,86
109,29,22,86
110,27,22,87
111,29,23,87
112,27,23,88
113,29,24,88
114,27,24,89
115,25,24,90
116,23,24,91
117,21,24,92
118,19,24,93
119,17,24,94
120,15,24,95
121,13,24,96
122,11,24,97
123,9,24,98
124,7,24,99
125,5,24,100
126,3,24,101
127,1,24,102
128,0,24,103
