tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,27,0,0
3,25,0,0
4,29,1,0
5,27,1,0
6,25,1,0
7,23,1,0
8,21,1,0
9,19,1,0
10,17,1,0
11,15,1,0
12,13,1,0
13,11,1,0
14,9,1,0
15,7,1,0
16,5,1,0
17,29,2,0
18,27,2,0
19,29,3,0
20,27,3,0
21,25,3,0
22,23,3,0
23,21,3,0
24,19,3,0
25,17,3,0
26,15,3,0
27,13,3,0
28,11,3,0
29,9,3,0
30,29,4,0
31,27,4,0
32,25,4,0
33,29,5,0
34,27,5,0
35,29,6,0
36,27,6,0
37,25,6,0
38,23,6,0
39,21,6,0
40,29,7,0
41,27,7,0
42,25,7,0
43,23,7,0
44,21,7,0
45,19,7,0
46,17,7,0
47,15,7,0
48,13,7,0
49,11,7,0
50,9,7,0
51,7,7,0
52,5,7,0
53,3,7,0
54,1,7,0
54,0,7,0
