tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,27,0,1
3,25,0,2
4,23,0,3
5,21,0,4
6,19,0,5
7,17,0,6
8,15,0,7
9,13,0,8
10,11,0,9
11,9,0,10
12,7,0,11
13,5,0,12
14,29,1,12
15,27,1,13
16,25,1,14
17,23,1,15
18,21,1,16
19,19,1,17
20,17,1,18
21,29,2,18
22,27,2,19
23,25,2,20
24,23,2,21
25,21,2,22
26,19,2,23
27,17,2,24
28,15,2,25
29,13,2,26
30,11,2,27
31,9,2,28
32,29,3,28
33,27,3,29
34,25,3,30
35,23,3,31
36,21,3,32
37,19,3,33
38,17,3,34
39,15,3,35
40,13,3,36
41,11,3,37
42,9,3,38
43,7,3,39
44,5,3,40
45,3,3,41
46,1,3,42
46,0,3,43
